Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
29/Oct/2022 03:37:27,RockBLOCK 206702,MO,59e29f5c63010000006dca09405102383e82ad743ec7559f403c0027007400a0009c0092009b0165041506ee0420041d043905390469050e083908150a1f0f2823c057549e43c0e8fd04a72d9813a8f4870b8a6d7f5d8c8972e459636106520f9925b8d76fb44bad922fd658ae3c7e0292756ee9513b561f80209b2881ec66f374ada1a87bcd95578dafc0628d935e3962b65c2e75bf7ca0a025b77f7da7928681be8b0a789978fba28c7fbf9f766b0445078df7932c808c4d9e65d97c5a8354633d53000045,"74.49111666666667,-7.258016666666666",,198,4
29/Oct/2022 03:16:25,RockBLOCK 206702,MO,4701463c9a5c63d72c632c7238a5fb45,"74.45685,-7.241133333333333",,16,1
28/Oct/2022 22:25:28,RockBLOCK 206702,MO,59e9555c631a000000488ef43f6b752e3e8d39833e75c8b840810161011801ff0006018a010103b503ed01e00185028f022e0206027a034a04d6059d07e20b74119411300d340c930fc013451c1933983ac369ea8640ade8fd47b13c46f33f304952664b6fda5cb65d0cb516a6b844ce3b9a5b6c558e304842a934e94eff789b7010728f6e7667835b839e9a975e620c446c576c5b87739d841363f23ea6626a56123f7959b155fa517f541e619b75ea8c1b7aaa4db6644c7dbf55493a754463437259000045,"74.53496666666666,-7.275",,198,4
28/Oct/2022 21:32:10,RockBLOCK 206702,MO,59cb395c6318000000ef369f3f77f05e3ea848913e9dd9854038004a00430058005b00ec0042019f006900aa00c70090004401300333040b05bd06700adf0e0e0d7c0b490ddd071e05fc042606ab08ad063c08b011a91eb14d7863c84c009ae8fdf3ae15772aae6dbc11684b592082b26cbf58af91e799cf66545e71659179ab7347562454697f8d8f586602582b9beebbfaafa37fb1762d95afb840b9c1c4b0b22390e875bc59ba651d9dfdf50493555c0e4cc068d85bc04f9d74db65ab5fc7558295000045,"74.53496666666666,-7.275",,198,4
28/Oct/2022 21:31:41,RockBLOCK 206702,MO,5916495c631900000087c0b13f767b573ea3228d3eea838940600051006d00680061009000980149016d00d900de004301730159015002a003b0057807390bcc0f480f770f620f5d0d190803081d0bc4149536cb61c3660b5dd0ad4ab0d6b8e8fdeebfacbd8391dc6d2159237e88732c48bf3cb7934e65d565c97a8d84a491498c07715fc259878f64736dc86d0b84f77c757305767766d57875776f95ad8da589f0a9f86b436bb1acba760f69a19e804e3069ca69e3afa4cc55772b8bc8bcdca54069000045,"74.53055,-7.4082333333333334",,198,4
28/Oct/2022 21:31:12,RockBLOCK 206702,MO,472e46f1495c634b2e692c7e9f93fb46f3425c63188b692c3f5392fb46e13b5c6398c4692cc90091fb46e7345c6342ee692c5fc78ffb46d62d5c639a0c6a2c9f658efb46db265c63d91c6a2c3a018dfb46c31f5c6381296a2c65968bfb46c5185c63d04a6a2c36138afb45,"74.53055,-7.4082333333333334",,107,3
28/Oct/2022 19:22:14,RockBLOCK 206702,MO,59c22b5c6317000000e780953ff6f65d3eca1c913e7fd28c4030003e003a002e0053008a00780064006f006000b7008e0164026d02bf044e07430811097f13521ea70f0109ee096f07ae051b08f807ee0a580c570875033803860e3513191d8138384b1c7cb68768aae6c10ebbb793638ad26a149f7398256750627cacf6b26d69827de8fd4cae853db852ca768060c15a6961b28249673371f181855c1a703774305eaa4cc93c5a2f663cda589261a17ee258f75c1b63433f0455d9483f576058ac88000045,"74.53055,-7.4082333333333334",,198,4
28/Oct/2022 18:22:00,RockBLOCK 206702,MO,59a91d5c6316000000339a8e3f8849623edeec973e54e98240480037003a0056003f00480039003c0094003c01ce00e400b7011f04ca06cb0ac009960d3f14ef165c0c2807eb073e0949099a089a06a806e503e804fa0707073f073409d811c2163d16861cef245a4e6488ee77ed8f12af9cb0228787a89cbd98fae8fdf6dad1a239a9bad5bb7ab880319fc1ba838a7f5c595757575759fb58d64e5b3d29628ca947a9d9694c5e796c7f61b5513829e367019cac7d7cae8ab095966b413f637da6f2b0000045,"74.53055,-7.4082333333333334",,198,4
28/Oct/2022 17:31:03,RockBLOCK 206702,MO,472646b3115c63159b6a2c8ca888fb46b60a5c63a4e56a2cea6787fb46a3035c637e196b2c700486fb46a6fc5b63c8126b2cb2e284fb4692f55b63f44a6a2ce2b183fb4697ee5b635170692c1ce882fb45,"74.4475,-5.085516666666667",,81,2
